date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-03-14,2.251292,0.012423,0.797507,0.001898,0.043538,0.001599,0.030141,0.007472,0.001299,0.001299,0.385262,0.061095,0.00444,0.001748,0.00095,1.423108,1.688249,0.031596,0.001699,0.050408,0.014889,1.472472,0.002646,0.618962,0.001898,0.008127
2001-03-17,3.049273,0.012423,1.715598,0.001898,0.043538,0.009425,0.01666,0.007472,0.001299,0.001299,0.332177,0.050503,0.00444,0.001748,0.00449,1.483875,1.753365,0.011929,0.001699,0.052687,0.064664,2.249184,0.002646,1.950187,0.008464,0.019116
2001-03-20,2.066863,0.012423,0.577736,0.001898,0.043538,0.001599,0.041142,0.007472,0.001299,0.001299,0.117783,0.051833,0.00444,0.001748,0.002247,1.536867,1.809927,0.032758,0.001699,0.067752,0.056853,1.007958,0.002646,0.908259,0.001898,0.008048
2001-03-23,2.292535,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
2001-03-26,2.302585,0.012423,0.896088,0.001898,0.043538,0.005007,0.027518,0.007472,0.001299,0.001299,0.117783,0.033435,0.00444,0.001748,0.00095,1.335001,1.593309,0.011929,0.001699,0.048028,0.070738,1.558145,0.002646,1.226712,0.001898,0.008672
2001-03-29,2.895912,0.012423,1.432701,0.001898,0.043538,0.008395,0.034112,0.032661,0.001299,0.001299,0.290428,0.044687,0.00444,0.001748,0.002088,1.677097,1.958685,0.042101,0.001699,0.050408,0.102557,1.750937,0.002646,1.882514,0.001898,0.012521
2001-04-01,3.005683,0.012423,1.477049,0.001898,0.043538,0.00634,0.022837,0.007472,0.001299,0.003613,0.383219,0.045451,0.00444,0.001748,0.002018,1.7492,2.034706,0.056569,0.001699,0.041142,0.084617,1.719189,0.002646,1.905088,0.001898,0.012818
2001-04-04,2.370244,0.012423,1.040277,0.001898,0.043538,0.001599,0.023717,0.007472,0.001299,0.001299,0.34146,0.057608,0.00444,0.001748,0.00095,1.481605,1.750937,0.049552,0.001699,0.052023,0.256965,1.508512,0.002646,1.583094,0.001898,0.006449
2001-04-07,3.194583,0.012423,1.477049,0.001898,0.043538,0.009039,0.040758,0.167208,0.001299,0.007422,0.561329,0.09531,0.012423,0.001748,0.003195,1.871802,2.163323,0.096219,0.001699,0.078534,0.381172,2.164472,0.005773,1.809927,0.006459,0.048314
2001-04-10,2.541602,0.012423,1.193922,0.001898,0.043538,0.001599,0.02635,0.007472,0.001299,0.001299,0.24059,0.054015,0.00444,0.001748,0.00095,1.435085,1.701105,0.047551,0.001699,0.066724,0.129272,1.61542,0.002646,1.667707,0.001898,0.007293
2001-04-13,2.681022,0.039701,0.783902,0.001898,0.043538,0.004311,0.116894,0.007472,0.001299,0.007919,0.682086,0.178146,0.00444,0.003623,0.001978,1.822935,2.112151,0.084709,0.001699,0.172271,0.282921,1.621366,0.011237,0.850151,0.004629,0.030432
2001-04-16,2.415914,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
2001-04-19,2.292535,0.037777,0.987681,0.001898,0.043538,0.004818,0.051643,0.007472,0.001299,0.005515,0.436318,0.112435,0.00444,0.001748,0.00095,1.430311,1.695983,0.055624,0.001699,0.131905,0.084433,1.560248,0.005465,0.81978,0.001898,0.033241
2001-04-22,3.157,0.327143,1.081805,0.001898,0.043538,0.006688,0.206201,0.007472,0.001299,0.002637,0.31627,0.396761,0.00444,0.009316,0.002317,2.00283,2.299982,0.075386,0.001699,0.703098,0.277632,1.983756,0.032951,0.932164,0.004161,0.015676
2001-04-25,2.151762,0.012423,0.693147,0.001898,0.043538,0.001599,0.030626,0.007472,0.001299,0.001299,0.277632,0.064101,0.00444,0.001748,0.00095,1.366092,1.626885,0.02557,0.001699,0.067098,0.031692,1.258461,0.002646,0.883768,0.001898,0.005276
2001-04-28,2.230014,0.012423,0.765468,0.001898,0.043538,0.004062,0.055624,0.007472,0.001299,0.001299,0.259283,0.08333,0.00444,0.001748,0.00095,1.501853,1.772577,0.029559,0.001699,0.151862,0.040086,1.291984,0.007879,0.81093,0.001898,0.00638
2001-05-01,3.049273,0.047551,0.987681,0.001898,0.043538,0.008117,0.133656,0.007472,0.001299,0.006608,0.837248,0.34359,0.017545,0.011434,0.003643,2.132982,2.435016,0.055624,0.001699,0.245296,0.084433,1.560248,0.034884,0.81978,0.007363,0.07325
2001-05-07,1.871802,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
