date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-08T03:00:00.000000,0.333,0.5325,0.1995,0.2505,0.1155,0.0795,0.237,0.765,0.960001,1.023001,0.0705,0.093,5.260503,0.3165,2.509502,1.203001,2.538002,0.213,0.008333,0.777,0.054,0.2235,1.711501,0.111,0.2505,1.396501,0.1005,0.123,1.486501,0.06,0.102,0.0855,0.2715,2.769002,1.242001,0.165,1.513501,0.0975,0.18,26.767589,998.6812
2005-06-08T06:00:00.000000,0.3225,0.4785,0.162,0.2085,0.102,0.0855,0.2265,0.597,0.7035,1.017001,0.066,0.069,3.190502,0.2565,2.487002,0.970501,1.878001,1.051501,0.0555,0.6795,0.039,0.1995,1.441501,0.1665,0.1935,1.101001,0.1605,0.15,1.087501,0.0555,0.1155,0.1185,0.2445,2.428502,1.251001,0.0855,1.297501,0.1245,0.1395,31.011173,914.9298
2005-06-09T03:00:00.000000,0.2445,0.4485,0.165,0.0885,0.1185,0.0525,0.0345,0.531,0.3285,0.4005,0.051,0.102,1.482001,0.2265,0.819001,0.7095,1.744501,0.198,0.036,0.6765,0.008333,0.2205,1.527001,0.0795,0.1815,0.5865,0.087,0.084,0.909001,0.0585,0.057,0.072,0.24,1.743001,0.456,0.141,1.312501,0.033,0.144,17.883966,580.132
2005-06-10T03:00:00.000000,0.1035,0.1185,0.0495,0.021,0.008333,0.008333,0.0435,0.1035,0.12,0.117,0.078,0.008333,0.5625,0.057,0.2265,0.156,0.825001,0.2955,0.008333,0.1935,0.008333,0.008333,0.4725,0.008333,0.0645,0.2025,0.008333,0.0345,0.3645,0.008333,0.008333,0.008333,0.0555,0.537,0.0855,0.008333,0.3375,0.129,0.036,25.504989,348.0
2005-06-10T06:00:00.000000,0.084,0.0855,0.033,0.008333,0.008333,0.008333,0.0405,0.081,0.123,0.1185,0.008333,0.008333,0.492,0.051,0.1875,0.174,0.6975,0.7185,0.008333,0.1665,0.008333,0.008333,0.51,0.008333,0.0555,0.207,0.008333,0.008333,0.318,0.008333,0.008333,0.008333,0.057,0.5235,0.0915,0.008333,0.2655,0.008333,0.008333,15.022489,256.0
2005-06-11T06:00:00.000000,0.207,0.3945,0.1335,0.108,0.069,0.036,0.063,0.399,0.306,0.3525,0.027,0.054,1.810501,0.1635,0.6255,0.501,1.123501,1.321501,0.008333,0.5025,0.045,0.213,1.254001,0.048,0.1215,0.3255,0.054,0.0585,0.6405,0.033,0.051,0.0915,0.1815,1.555501,0.246,0.0915,0.990001,0.0315,0.0975,6.205385,431.70332
2005-06-12T03:00:00.000000,0.3705,0.829501,0.267,0.2505,0.1275,0.087,0.162,1.164001,0.5205,0.5355,0.078,0.1245,1.564501,0.2595,0.7485,0.729,2.305501,0.5925,0.008333,0.852001,0.1035,0.675,1.935001,0.0615,0.2205,5.008503,0.0555,0.111,1.356001,0.0585,0.051,0.099,0.3165,1.728001,0.345,0.1395,1.738501,0.0945,0.243,132.637446,1752.0
2005-06-12T06:00:00.000000,0.126,0.4185,0.1305,0.1635,0.054,0.0315,0.0345,0.4635,0.2625,0.435,0.008333,0.033,1.264501,0.1215,1.155001,0.537,1.357501,0.6255,0.008333,0.3135,0.008333,0.0795,1.078501,0.042,0.0765,0.3975,0.048,0.054,0.6585,0.008333,0.0375,0.0555,0.129,0.991501,0.4635,0.008333,0.759,0.008333,0.0525,13.984974,444.0
2005-06-13T03:00:00.000000,0.2235,0.363,0.129,0.12,0.069,0.0405,0.0375,0.381,0.2325,0.6585,0.008333,0.048,3.358502,0.4125,1.110001,0.717,1.222501,0.087,0.008333,0.4515,0.008333,0.1725,1.323001,0.0855,0.12,0.3735,0.06,0.057,0.72,0.039,0.048,0.045,0.21,1.881001,0.3225,0.2325,1.083001,0.008333,0.078,22.449966,620.0
2005-06-13T06:00:00.000000,0.231,0.3735,0.1305,0.126,0.0615,0.039,0.1305,0.4065,0.3315,0.561,0.024,0.0555,2.455502,0.222,1.288501,0.877501,1.438501,0.910501,0.008333,0.4455,0.008333,0.15,1.668001,0.063,0.126,0.5685,0.0645,0.0495,0.991501,0.039,0.048,0.0855,0.177,2.194501,0.405,0.108,0.954001,0.015,0.093,18.299963,624.0
