date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-03-17,20.1,0.0125,4.56,0.0019,0.0445,0.00947,0.0168,0.0075,0.0013,0.0013,0.394,0.0518,0.00445,0.00175,0.0045,3.41,4.774,0.012,0.0017,0.0541,0.0668,8.48,0.00265,6.03,0.0085,0.0193
2001-03-20,6.9,0.0125,0.782,0.0019,0.0445,0.0016,0.042,0.0075,0.0013,0.0013,0.125,0.0532,0.00445,0.00175,0.00225,3.65,5.11,0.0333,0.0017,0.0701,0.0585,1.74,0.00265,1.48,0.0019,0.00808
2001-03-23,8.9,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-03-26,9.0,0.0125,1.45,0.0019,0.0445,0.00502,0.0279,0.0075,0.0013,0.0013,0.125,0.034,0.00445,0.00175,0.00095,2.8,3.92,0.012,0.0017,0.0492,0.0733,3.75,0.00265,2.41,0.0019,0.00871
2001-03-29,17.1,0.0125,3.19,0.0019,0.0445,0.00843,0.0347,0.0332,0.0013,0.0013,0.337,0.0457,0.00445,0.00175,0.00209,4.35,6.09,0.043,0.0017,0.0517,0.108,4.76,0.00265,5.57,0.0019,0.0126
2001-04-01,19.2,0.0125,3.38,0.0019,0.0445,0.00636,0.0231,0.0075,0.0013,0.00362,0.467,0.0465,0.00445,0.00175,0.00202,4.75,6.65,0.0582,0.0017,0.042,0.0883,4.58,0.00265,5.72,0.0019,0.0129
2001-04-04,9.7,0.0125,1.83,0.0019,0.0445,0.0016,0.024,0.0075,0.0013,0.0013,0.407,0.0593,0.00445,0.00175,0.00095,3.4,4.76,0.0508,0.0017,0.0534,0.293,3.52,0.00265,3.87,0.0019,0.00647
2001-04-07,23.4,0.0125,3.38,0.0019,0.0445,0.00908,0.0416,0.182,0.0013,0.00745,0.753,0.1,0.0125,0.00175,0.0032,5.5,7.7,0.101,0.0017,0.0817,0.464,7.71,0.00579,5.11,0.00648,0.0495
2001-04-10,11.7,0.0125,2.3,0.0019,0.0445,0.0016,0.0267,0.0075,0.0013,0.0013,0.272,0.0555,0.00445,0.00175,0.00095,3.2,4.48,0.0487,0.0017,0.069,0.138,4.03,0.00265,4.3,0.0019,0.00732
2001-04-13,13.6,0.0405,1.19,0.0019,0.0445,0.00432,0.124,0.0075,0.0013,0.00795,0.978,0.195,0.00445,0.00363,0.00198,5.19,7.266,0.0884,0.0017,0.188,0.327,4.06,0.0113,1.34,0.00464,0.0309
2001-04-16,10.2,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
