date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-08T03:00:00.000000,2.220001,3.550002,1.330001,1.670001,0.77,0.53,1.580001,5.100003,6.400004,6.820004,0.47,0.62,35.070022,2.110001,16.73001,8.020005,16.920011,1.420001,0.005,5.180003,0.36,1.490001,11.410007,0.74,1.670001,9.310006,0.67,0.820001,9.910006,0.4,0.68,0.57,1.810001,18.460012,8.280005,1.100001,10.090006,0.65,1.200001,53.535177,249.6703
2005-06-08T06:00:00.000000,2.150001,3.190002,1.080001,1.390001,0.68,0.57,1.510001,3.980002,4.690003,6.780004,0.44,0.46,21.270013,1.710001,16.58001,6.470004,12.520008,7.010004,0.37,4.530003,0.26,1.330001,9.610006,1.110001,1.290001,7.340005,1.070001,1.000001,7.250005,0.37,0.77,0.79,1.630001,16.19001,8.340005,0.57,8.650005,0.830001,0.930001,62.022346,228.73245
2005-06-09T03:00:00.000000,1.630001,2.990002,1.100001,0.59,0.79,0.35,0.23,3.540002,2.190001,2.670002,0.34,0.68,9.880006,1.510001,5.460003,4.730003,11.630007,1.320001,0.24,4.510003,0.005,1.470001,10.180006,0.53,1.210001,3.910002,0.58,0.56,6.060004,0.39,0.38,0.48,1.600001,11.620007,3.040002,0.940001,8.750005,0.22,0.960001,35.767932,145.033
2005-06-10T03:00:00.000000,0.69,0.79,0.33,0.14,0.005,0.005,0.29,0.69,0.800001,0.78,0.52,0.005,3.750002,0.38,1.510001,1.040001,5.500003,1.970001,0.005,1.290001,0.005,0.005,3.150002,0.005,0.43,1.350001,0.005,0.23,2.430002,0.005,0.005,0.005,0.37,3.580002,0.57,0.005,2.250001,0.860001,0.24,51.009977,87.0
2005-06-10T06:00:00.000000,0.56,0.57,0.22,0.005,0.005,0.005,0.27,0.54,0.820001,0.79,0.005,0.005,3.280002,0.34,1.250001,1.160001,4.650003,4.790003,0.005,1.110001,0.005,0.005,3.400002,0.005,0.37,1.380001,0.005,0.005,2.120001,0.005,0.005,0.005,0.38,3.490002,0.61,0.005,1.770001,0.005,0.005,30.044979,64.0
2005-06-11T06:00:00.000000,1.380001,2.630002,0.890001,0.72,0.46,0.24,0.42,2.660002,2.040001,2.350001,0.18,0.36,12.070008,1.090001,4.170003,3.340002,7.490005,8.810006,0.005,3.350002,0.3,1.420001,8.360005,0.32,0.810001,2.170001,0.36,0.39,4.270003,0.22,0.34,0.61,1.210001,10.370006,1.640001,0.61,6.600004,0.21,0.65,12.41077,107.92583
2005-06-12T03:00:00.000000,2.470002,5.530003,1.780001,1.670001,0.850001,0.58,1.080001,7.760005,3.470002,3.570002,0.52,0.830001,10.430007,1.730001,4.990003,4.860003,15.37001,3.950002,0.005,5.680004,0.69,4.500003,12.900008,0.41,1.470001,33.390021,0.37,0.74,9.040006,0.39,0.34,0.66,2.110001,11.520007,2.300001,0.930001,11.590007,0.63,1.620001,265.274892,438.0
2005-06-12T06:00:00.000000,0.840001,2.790002,0.870001,1.090001,0.36,0.21,0.23,3.090002,1.750001,2.900002,0.005,0.22,8.430005,0.810001,7.700005,3.580002,9.050006,4.170003,0.005,2.090001,0.005,0.53,7.190005,0.28,0.51,2.650002,0.32,0.36,4.390003,0.005,0.25,0.37,0.860001,6.610004,3.090002,0.005,5.060003,0.005,0.35,27.969948,111.0
2005-06-13T03:00:00.000000,1.490001,2.420002,0.860001,0.800001,0.46,0.27,0.25,2.540002,1.550001,4.390003,0.005,0.32,22.390014,2.750002,7.400005,4.780003,8.150005,0.58,0.005,3.010002,0.005,1.150001,8.820006,0.57,0.800001,2.490002,0.4,0.38,4.800003,0.26,0.32,0.3,1.400001,12.540008,2.150001,1.550001,7.220005,0.005,0.52,44.899931,155.0
2005-06-13T06:00:00.000000,1.540001,2.490002,0.870001,0.840001,0.41,0.26,0.870001,2.710002,2.210001,3.740002,0.16,0.37,16.37001,1.480001,8.590005,5.850004,9.590006,6.070004,0.005,2.970002,0.005,1.000001,11.120007,0.42,0.840001,3.790002,0.43,0.33,6.610004,0.26,0.32,0.57,1.180001,14.630009,2.700002,0.72,6.360004,0.1,0.62,36.599925,156.0
