city,date,y,fitted,residual
St. Louis,2001-06-22,3.104587,3.1629023308660282,-0.058315330866028275
St. Louis,2001-06-22,3.387774,3.427347529264661,-0.03957352926466123
St. Louis,2001-06-22,3.104587,3.2584045638944623,-0.1538175638944625
St. Louis,2001-06-22,3.194583,3.6067043433062835,-0.4121213433062836
St. Louis,2001-06-22,3.122365,3.322513750019796,-0.20014875001979598
St. Louis,2001-06-22,2.587764,3.1790875509109418,-0.5913235509109417
St. Louis,2001-06-22,2.501436,3.1727721399639592,-0.6713361399639592
St. Louis,2001-06-22,2.415914,3.161863657906583,-0.7459496579065827
St. Louis,2001-06-22,2.587764,3.147120866314762,-0.5593568663147619
St. Louis,2001-06-22,2.624669,3.1978317715242506,-0.5731627715242505
St. Louis,2001-06-22,2.839078,3.2378027465971995,-0.3987247465971994
St. Louis,2001-06-22,2.791165,3.2212252855293597,-0.43006028552935965
St. Louis,2001-06-22,2.727853,3.2305605086868088,-0.5027075086868086
St. Louis,2001-06-22,2.734368,3.2207813166044823,-0.48641331660448245
St. Louis,2001-06-22,2.727853,3.0442087571717336,-0.31635575717173336
St. Louis,2001-06-22,2.923162,3.303255388153529,-0.380093388153529
St. Louis,2001-06-22,3.08191,3.2351468129468075,-0.1532368129468074
St. Louis,2001-06-22,3.206803,3.510638644531347,-0.3038356445313473
St. Louis,2001-06-22,3.165475,3.4185967016851313,-0.2531217016851317
St. Louis,2001-06-22,3.131137,3.4230455410100262,-0.29190854101002617
St. Louis,2001-06-22,3.529297,3.401678744559813,0.12761825544018723
St. Louis,2001-06-22,4.201703,3.7317812830941124,0.4699217169058876
St. Louis,2001-06-23,4.560173,3.7258748060869364,0.8342981939130635
St. Louis,2001-06-23,4.361824,3.7179704065019097,0.6438535934980907
St. Louis,2001-06-23,4.411585,3.783678596358878,0.6279064036411218
St. Louis,2001-06-23,4.682131,3.994311531452774,0.687819468547226
St. Louis,2001-06-23,3.169686,3.459705975574702,-0.2900199755747018
St. Louis,2001-06-23,2.884801,3.2652553013221683,-0.3804543013221684
